Date,Day,Week,Court,Team 1,Team 2,Notes
May 7 2026,Thursday,1,1,Dolls With Balls,Quattro Amici,
May 7 2026,Thursday,1,2,Let's Roll,Bocce Stars,
May 7 2026,Thursday,1,3,D'Bocceri,Wonder Women,
May 7 2026,Thursday,1,4,Bocce Babes,Donne Dolci,
May 7 2026,Thursday,1,5,Limoncello Sorelle,Bocce Bella's,
May 7 2026,Thursday,1,6,Movin' Balls,Viva la Bocce,
May 12 2026,Tuesday,2,1,Viva la Bocce,Donne Vere,
May 12 2026,Tuesday,2,2,Movin' Balls,Cannoli Hope,
May 12 2026,Tuesday,2,3,Bocce Stars,Bocce Mamas,
May 12 2026,Tuesday,2,4,La Bocce Vita,Limoncello Sorelle,
May 12 2026,Tuesday,2,5,Bocce Babes,Wonder Women,
May 12 2026,Tuesday,2,6,D'Bocceri,Donne Dolci,
May 14 2026,Thursday,2,1,Donne Dolci,Bocce Bella's,
May 14 2026,Thursday,2,2,D'Bocceri,Bocce Babes,
May 14 2026,Thursday,2,3,Dolls With Balls,Let's Roll,
May 14 2026,Thursday,2,4,Quattro Amici,Bocce Stars,
May 14 2026,Thursday,2,5,Limoncello Sorelle,Bocce Mamas,
May 14 2026,Thursday,2,6,La Bocce Vita,Wonder Women,
May 21 2026,Thursday,3,1,Bocce Mamas,Cannoli Hope,
May 21 2026,Thursday,3,2,Limoncello Sorelle,Dolls With Balls,
May 21 2026,Thursday,3,3,Bocce Stars,Bocce Bella's,
May 21 2026,Thursday,3,4,Movin' Balls,Bocce Stars,
May 21 2026,Thursday,3,5,Quattro Amici,Let's Roll,
May 21 2026,Thursday,3,6,Wonder Women,Viva la Bocce,
May 26 2026,Tuesday,4,1,D'Bocceri,Bocce Stars,
May 26 2026,Tuesday,4,2,Donne Vere,Wonder Women,
May 26 2026,Tuesday,4,3,La Bocce Vita,Viva la Bocce,
May 26 2026,Tuesday,4,4,Donne Dolci,Bocce Mamas,
May 26 2026,Tuesday,4,5,Movin' Balls,Bocce Babes,
May 26 2026,Tuesday,4,6,Dolls With Balls,Cannoli Hope,
May 28 2026,Thursday,4,1,D'Bocceri,Movin' Balls,
May 28 2026,Thursday,4,2,Donne Dolci,Dolls With Balls,
May 28 2026,Thursday,4,3,Limoncello Sorelle,Quattro Amici,
May 28 2026,Thursday,4,4,Bocce Bella's,Let's Roll,
May 28 2026,Thursday,4,5,Cannoli Hope,Bocce Stars,
May 28 2026,Thursday,4,6,Bocce Babes,Bocce Mamas,
June 4 2026,Thursday,5,1,Bocce Stars,Limoncello Sorelle,
June 4 2026,Thursday,5,2,Bocce Bella's,Quattro Amici,
June 4 2026,Thursday,5,3,Movin' Balls,Let's Roll,
June 4 2026,Thursday,5,4,D'Bocceri,Viva la Bocce,
June 4 2026,Thursday,5,5,Bocce Stars,La Bocce Vita,
June 4 2026,Thursday,5,6,Bocce Mamas,Donne Vere,
June 9 2026,Tuesday,6,1,Wonder Women,Bocce Mamas,
June 9 2026,Tuesday,6,2,Let's Roll,La Bocce Vita,
